Tweet,Lemmatized_Tokens
Κατακραυγή στην Γαλλία: Αφγανός μετανάστης στο σκαμνί για σεξουαλικά εγκλήματα εναντίον 5χρονου κοριτσιού,"['κατακραυγή', 'Γαλλία', 'αφγανός', 'μετανάστης', 'σκαμνί', 'σεξουαλικά', 'εγκλήματο', '5', 'χρονος', 'κοριτσιός']"
"Παραιτήσανε με το έτσι θέλω τον 80χρονο διοικητή του Νοσοκομείου Καρδίτσας. Αν ο άνθρωπος απηυδήσει μ' όλα αυτά και τα μαζέψει για εξωτερικό ως οικονομικός μετανάστης, μετά θα σκούζετε για το συνεχιζόμενο μπρέιν ντρέιν","['παραιτήσανε', 'θέλω', '80', 'χρονος', 'διοικητή', 'νοσοκομείο', 'Καρδίτσας', 'άνθρωπος', 'απηυδήσω', 'αυτά', 'μαζέψει', 'εξωτερικό', 'οικονομικός', 'μετανάστης', 'σκούζω', 'συνεχιζόμενος', 'μπρέιν', 'ντρέιν']"
"@anatropi_news @JiaManie Κρίμα και είχε το μέλλον μπροστά του, ένας ακόμα μετανάστης θα φύγει να βρει την τύχη του !","['κρίμα', 'έχω', 'μέλλον', 'μπροστά', 'ένας', 'μετανάστης', 'φύγω', 'βρω', 'τύχη']"
"Είσαι καρκινοπαθής, μετανάστης και δεν έχεις ΑΜΚΑ; Εδώ είναι νοσοκομείο, να πας αλλού…","['καρκινοπαθής', 'μετανάστης', 'δεν', 'αμκα', 'είναι', 'νοσοκομείο', 'πας', 'αλλού', '…']"
@kyrakrts Κι άλλος υποψήφιος μετανάστης? Δεν θα το αντέξω αυτό!,"['υποψήφιος', 'μετανάστης', 'αντέξω']"
|είμαι το βάσανο του Σύριου πρόσφυγα που σπούδασε για μία καλύτερη ζωή,"['βάσανο', 'Σύριου', 'πρόσφυγα', 'σπούδασε', 'μία', 'καλός', 'ζωή']"
κι έγινε ράφτης στον νέο κόσμο για να σωθεί,"['ράφτης', 'νέος', 'κόσμο', 'σωθώ']"
ο μαύρος μετανάστης της κυψέλης απ' την ακτή ελαφαντοστού που του κλέβουν κάθε ανάπαυλα χαμόγελου,"['μαύρος', 'μετανάστης', 'κυψέλη', 'την', 'ακτός', 'ελαφαντοστός', 'του', 'κλέβω', 'ανάπαυλος', 'χαμόγελο']"
Χωρίς τέλος οι προσφυγικές ροές στα νησιά - Έφτασαν σχεδόν 2.800 άτομα σε μία εβδομάδα  #Προσφυγικό #Αιγαίο #νησιά,"['τέλος', 'προσφυγικός', 'ροός', 'νησί', 'έφτασαν', '2800', 'άτομο', 'μία', 'εβδομάδα', 'προσφυγικό', 'Αιγαίο', 'νησί']"
"Κατά συνέπεια για πρώτη φορά μετά τη Μεταπολίτευση θα πάμε στις επόμενες εκλογές με θέμα αν θέλουμε η Ελλάδα να είναι κράτος Ελλήνων ή θέλουμε να επιστρέψουμε στο πολυπολιτισμικό μοντέλο, α λα Οθωμανική Αυτοκρατορία. 😂🤣😂🤣😂🤣","['συνέπεια', 'πρώτη', 'φορά', 'μεταπολίτευση', 'πηγαίνω', 'επόμενες', 'εκλογές', 'θέμα', 'θέλω', 'Ελλάδα', 'είναι', 'κράτος', 'Ελλήνων', 'θέλω', 'επιστρέψω', 'πολυπολιτισμικό', 'μοντέλο', 'λα', 'οθωμανικός', 'αυτοκρατορία', 'the', 'with', 'rolling', 'the', 'laughing']"
Οι παλιοί κανόνες δεν ισχύουν πλέον.,"['παλιός', 'κανόνα', 'ισχύω']"
Η Αγαπηδάκη διορίστηκε να φροντίζει προσφυγόπουλα,"['αγαπηδάκη', 'διορίστηκε', 'φροντίζω', 'προσφυγόπουλα']"
Μοναδικό της προσόν οι εμετικές αντισυριζα αναρτήσεις της. Θα τα φροντίζει όχι δια μέσου της κρατικής πρόνοιας,"['μοναδικό', 'προσόν', 'εμετικός', 'αντισυριζος', 'αναρτήσει', 'φροντίζω', 'δια', 'μέσο', 'κρατικός', 'πρόνοια']"
άλλα με την φιλανθρωπία που διακρίνει την τάξη των ΑΡΊΣΤΩΝ αρπακτικών της εξουσίας.,"['φιλανθρωπίο', 'διακρίνω', 'τάξη', 'αρίστος', 'αρπακτικός', 'εξουσία']"
RT @jedijig: Κατά συνέπεια για πρώτη φορά μετά τη Μεταπολίτευση θα πάμε στις επόμενες εκλογές με θέμα αν θέλουμε η Ελλάδα να είναι κράτος Ε…,"['κατά', 'συνέπεια', 'πρώτη', 'φορά', 'μεταπολίτευση', 'πηγαίνω', 'επόμενες', 'εκλογές', 'θέμα', 'θέλω', 'Ελλάδα', 'είναι', 'κράτος']"
"Στο EK: ""Καταψηφίζω τη νέα Κομισιόν γιατί oι στόχοι της είναι ανέφικτο να επιτευχθούν με προϋπολογισμό στο 1% του ΑΕΠ της ΕΕ, γιατί διαφωνώ με τις περικοπές σε ΚΑΠ &amp; Συνοχή, γιατί θεωρώ ντροπή η ΕΕ να έχει παραλύσει στο προσφυγικό κ η Κομισιόν να είναι όμηρος των Ορμπαν-Σαλβίνι"".","['καταψηφίζω', 'νέος', 'κομισιόν', 'στόχοι', 'είναι', 'ανέφικτος', 'επιτευχθώ', 'προϋπολογισμό', '1', 'αεπ', 'διαφωνώ', 'τις', 'περικοπή', 'καπ', 'συνοχή', 'θεωρώ', 'ντροπή', 'έχω', 'παραλύσω', 'προσφυγικό', 'κομισιόν', 'είναι', 'όμηρος', 'ορμπανσαλβίνι']"
